,re_dist,le_dist,rw_dist,lw_dist,rs_dist,ls_dist,label
0,485.5695013845395,455.61987913585,339.0438569698529,397.51875562903064,265.1299725780792,243.31417534293465,buy
0,483.13146074760135,452.1270443399351,335.0198528574765,391.22921129230286,261.9723572795357,238.45682053996333,buy
0,482.62221047932337,451.849311975212,344.14057543050353,393.41615187063184,260.3028661668378,237.90882557292198,buy
0,479.4577724189502,450.17136561239687,342.56102992978043,393.4544443409254,260.25179444092214,235.89933912187524,buy
0,479.6058650153521,451.3163570499609,333.23371684881346,393.4244764540498,261.47857457945827,237.98108311284298,buy
0,481.9665651563216,453.77888352666923,336.64065253478617,394.659001779128,264.3860889621785,237.985456943111,buy
0,494.0501301100998,453.3680180707578,360.89918304601235,393.437432818797,247.44106360469362,244.85439915086602,buy
0,487.7050901969691,452.78092269073625,375.57685752287387,393.06612721258995,249.1527991904024,241.3299376073,buy
0,479.87505986408047,454.6776169753282,353.7422218247507,388.0453216244374,257.9190257520369,240.79069115866412,buy
0,483.520806926246,452.6347938271826,345.03763604188964,382.4718551513942,260.35831076541604,240.48819785747392,buy
0,492.3623119776596,450.91156123515395,342.9702562545269,387.8453882748111,260.33164362193037,237.64762048612027,buy
0,469.5405516355357,452.208405574218,340.34396837915244,383.66725842238367,259.23973024853314,241.4690012611883,buy
0,473.2579348860973,457.7223870291062,344.48111872882606,382.35229929294184,254.02442889230628,241.37901464195934,buy
0,489.4345212656329,456.6161226787781,356.79585483355294,391.5316748428259,264.1715401245311,245.36665037990664,buy
0,492.94571883670807,460.5543461190136,383.2838117112423,402.04289941275323,241.60825988736798,247.93896814101015,buy
0,488.13983267504017,460.6190965527959,376.26983251900907,397.0709975079422,253.76780082232798,247.598256244388,buy
0,374.99013364167405,575.4294511059184,609.8009436655113,661.7868671673249,241.22893682034172,324.748343900945,buy
0,391.0809398862977,576.1176533007457,614.4292489447835,659.5814615876075,229.92769788165342,322.0760195521075,buy
0,487.6118158263556,573.3608436294548,553.4566609655915,660.2478540021775,234.98281168414164,321.84050113898365,buy
0,590.1776936437385,599.3029654204603,513.2352402846232,665.4800289312637,256.3307802420794,322.0234804951303,buy
0,609.421793304119,577.5937586039489,517.8043297596332,665.0493958430783,277.46114595071094,320.6066850400417,buy
0,560.0407155447502,604.2374826359838,571.065357891895,669.6782384284036,288.7203775194027,323.2879911289186,buy
0,554.4147065851595,585.219210650533,612.4226968680962,684.6749315448972,287.912962267782,328.22930963618126,buy
0,548.1463457465425,588.105157109704,617.1958663294716,693.9387292879283,279.42227384313304,330.35704983086595,buy
0,548.9766374087511,615.5638169312804,611.5097634009603,690.6543938944972,281.6078026444168,330.0052459479534,buy
0,552.187250655804,587.420708486653,607.7173095228402,689.0523287277787,282.22337940463234,333.65095738616515,buy
0,553.3269984322777,610.8012544360337,599.1968125479822,672.0308546995991,285.90555686071025,330.9910599720326,buy
0,552.1133160202043,606.4062167729924,582.8340997942462,665.9120106481778,274.35903901467015,328.84423675460766,buy
0,525.816789499793,609.4840484191054,589.7104264302075,666.4216938684585,247.56399083611254,335.5918343548427,buy
0,404.6031226448456,610.7760517373796,592.971882490339,667.196618366027,240.6559355365462,336.9313671832015,buy
0,431.60919122932904,610.1765719644919,607.4029907350274,666.7966654338792,239.5140405449394,334.3311313899457,buy
0,433.44394652784484,609.9206075360999,611.4646075354689,667.884053389378,241.0196666763808,329.8537601945114,buy
0,558.7183317845033,627.9292906426369,518.0179895107435,689.6765542247872,274.1290026320219,341.48184490780307,buy
0,601.0705315052797,631.7722204403341,548.3429042714882,695.8285886043119,288.14293851618675,342.62516413856423,buy
0,560.8768398792629,630.8632722404947,605.4566517803653,700.1278527158539,299.1032313831539,345.2936850720287,buy
0,570.0558030715339,632.9849617680217,645.6761658042794,690.5487648686217,308.049060357032,346.9682921668512,buy
0,571.2261333085763,637.0773209343299,645.8684758925974,693.9575142741578,307.3820157944443,348.80940444381474,buy
0,573.4495391987441,639.1396712840154,639.1825106203329,693.3882120273753,281.2126674661804,353.9690358711224,buy
0,575.4078463579968,636.30358871258,637.660712741302,690.9738991410876,300.1537620658794,347.47589433124955,buy
0,575.2698187268937,635.2204080293242,629.8216363006641,695.1087996128463,300.2961251596668,346.84635738196675,buy
0,577.7284409375967,635.5545016902786,593.7405106403642,694.1136310596813,281.4250463834765,345.0805326312503,buy
0,602.7473343775786,636.1967701002967,564.881262833564,688.7038837614191,278.4553051267564,345.9542299387982,buy
0,431.4825396287148,616.8938510245302,617.6988982227721,683.1816751029128,271.63764589032724,337.4138807120504,buy
0,453.36732752402423,631.2174873052141,644.1340342448709,700.063122939233,275.37708287615345,341.5952615753878,buy
0,441.04310266740276,615.2025122476703,630.0306388835314,693.5904273532001,269.7402429521111,346.41829339751945,buy
0,493.0192442780233,634.0628567410532,542.7959991768888,703.1399257454802,273.48225740933503,350.1456571291883,buy
0,512.0099769149051,521.0571619007266,426.0975322505304,533.6984868437694,280.40248739112855,270.7514909119277,buy
0,543.7273253198922,521.9941644561313,427.1771158415437,533.781474970631,285.7417245246178,269.68203384093147,buy
0,540.7167473825415,522.299429304473,460.88976020698766,531.0931385977028,279.89192145389893,273.3342485417562,buy
